latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.875,71.375,625.0,18000,Asia/Qyzylorda,GMT+5

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),evapotranspiration (mm),et0_fao_evapotranspiration (mm),wind_speed_10m (km/h),uv_index (),uv_index_clear_sky (),is_day (),sunshine_duration (s),total_column_integrated_water_vapour (kg/m²),wet_bulb_temperature_2m (°C),cape (J/kg),boundary_layer_height (m),shortwave_radiation (W/m²),direct_radiation (W/m²),direct_normal_irradiance (W/m²),shortwave_radiation_instant (W/m²),soil_moisture_0_to_1cm (m³/m³),temperature_80m (°C),freezing_level_height (m)
2025-05-12T00:00,17.3,58,0.00,0.01,0.01,3.3,0.00,0.00,0,0.00,13.60,12.4,0.0,10.00,0.0,0.0,0.0,0.0,0.150,22.0,3390.00
2025-05-12T01:00,16.4,65,0.00,0.01,0.00,2.2,0.00,0.00,0,0.00,13.30,12.3,0.0,20.00,0.0,0.0,0.0,0.0,0.151,20.8,3370.00
2025-05-12T02:00,15.5,68,0.00,-0.00,0.00,2.5,0.00,0.00,0,0.00,12.80,11.8,0.0,15.00,0.0,0.0,0.0,0.0,0.152,20.0,3360.00
2025-05-12T03:00,14.3,74,0.00,-0.00,0.00,3.6,0.00,0.00,0,0.00,12.60,11.4,0.0,15.00,0.0,0.0,0.0,0.0,0.153,19.3,3400.00
2025-05-12T04:00,12.9,81,0.00,-0.00,0.00,4.3,0.00,0.00,0,0.00,11.90,10.8,0.0,15.00,0.0,0.0,0.0,0.0,0.154,18.8,3530.00
2025-05-12T05:00,12.7,72,0.00,0.01,0.00,4.3,0.00,0.00,1,0.00,12.10,9.7,0.0,10.00,0.0,0.0,0.0,0.0,0.153,18.5,3700.00
2025-05-12T06:00,13.4,69,0.00,0.01,0.02,4.0,0.25,0.25,1,1328.52,11.60,10.0,0.0,25.00,49.0,17.0,135.4,98.8,0.154,18.0,3680.00
2025-05-12T07:00,16.6,62,0.00,0.03,0.10,3.0,1.10,1.10,1,3600.00,10.80,12.2,0.0,135.00,199.0,123.0,455.8,265.5,0.154,17.9,3720.00
2025-05-12T08:00,20.1,43,0.00,0.07,0.23,3.6,2.45,2.45,1,3600.00,10.50,12.8,0.0,275.00,385.0,283.0,633.0,457.5,0.153,18.4,3790.00
2025-05-12T09:00,22.2,37,0.00,0.12,0.37,5.9,4.00,4.00,1,3600.00,10.10,13.7,0.0,495.00,567.0,449.0,738.1,634.5,0.151,20.1,3880.00
2025-05-12T10:00,24.1,34,0.00,0.16,0.50,8.0,5.50,5.50,1,3600.00,10.50,14.7,0.0,880.00,724.0,596.0,802.7,778.3,0.148,21.6,3930.00
